TIMESLICE,YEAR,TECHNOLOGY,MODE_OF_OPERATION,REGION,VALUE
ID,2014,GasExtraction,1,SIMPLICITY,0.55708901219
ID,2014,NGCC,1,SIMPLICITY,0.2796631547799999
ID,2014,TD,1,SIMPLICITY,0.2796631547799999
ID,2015,GasExtraction,1,SIMPLICITY,0.5598568489799999
ID,2015,NGCC,1,SIMPLICITY,0.28105263262
ID,2015,TD,1,SIMPLICITY,0.28105263262
ID,2016,GasExtraction,1,SIMPLICITY,0.57218628104
ID,2016,NGCC,1,SIMPLICITY,0.28724210359999997
ID,2016,TD,1,SIMPLICITY,0.28724210359999997
ID,2017,GasExtraction,1,SIMPLICITY,0.5892965024
ID,2017,NGCC,1,SIMPLICITY,0.29583157115
ID,2017,TD,1,SIMPLICITY,0.29583157115
ID,2018,GasExtraction,1,SIMPLICITY,0.6859189897000001
ID,2018,NGCC,1,SIMPLICITY,0.34433683692999995
ID,2018,TD,1,SIMPLICITY,0.34433683692999995
ID,2019,GasExtraction,1,SIMPLICITY,0.7319656471899999
ID,2019,NGCC,1,SIMPLICITY,0.36745262583
ID,2019,TD,1,SIMPLICITY,0.36745262583
ID,2020,GasExtraction,1,SIMPLICITY,0.7772574370699998
ID,2020,NGCC,1,SIMPLICITY,0.39018947229
ID,2020,TD,1,SIMPLICITY,0.39018947229
ID,2021,GasExtraction,1,SIMPLICITY,0.85123401276
ID,2021,NGCC,1,SIMPLICITY,0.42732631484
ID,2021,TD,1,SIMPLICITY,0.42732631484
ID,2022,GasExtraction,1,SIMPLICITY,0.88822230894
ID,2022,NGCC,1,SIMPLICITY,0.44589474445
ID,2022,TD,1,SIMPLICITY,0.44589474445
ID,2023,GasExtraction,1,SIMPLICITY,0.95263730603
ID,2023,NGCC,1,SIMPLICITY,0.47823157719000003
ID,2023,TD,1,SIMPLICITY,0.47823157719000003
ID,2024,GasExtraction,1,SIMPLICITY,0.9825802100800001
ID,2024,NGCC,1,SIMPLICITY,0.49326314956999995
ID,2024,TD,1,SIMPLICITY,0.49326314956999995
ID,2025,GasExtraction,1,SIMPLICITY,1.0002
ID,2025,GasImport,1,SIMPLICITY,0.007793936808999999
ID,2025,NGCC,1,SIMPLICITY,0.50602105064
ID,2025,TD,1,SIMPLICITY,0.50602105064
ID,2026,GasExtraction,1,SIMPLICITY,1.0002
ID,2026,GasImport,1,SIMPLICITY,0.046795200502
ID,2026,NGCC,1,SIMPLICITY,0.52559999898
ID,2026,TD,1,SIMPLICITY,0.52559999898
ID,2027,GasExtraction,1,SIMPLICITY,1.0002
ID,2027,GasImport,1,SIMPLICITY,0.08705456909899999
ID,2027,NGCC,1,SIMPLICITY,0.5458105236099999
ID,2027,TD,1,SIMPLICITY,0.5458105236099999
ID,2028,GasExtraction,1,SIMPLICITY,1.0002
ID,2028,GasImport,1,SIMPLICITY,0.11599099022599998
ID,2028,NGCC,1,SIMPLICITY,0.5603368449599999
ID,2028,TD,1,SIMPLICITY,0.5603368449599999
ID,2029,GasExtraction,1,SIMPLICITY,1.0002
ID,2029,GasImport,1,SIMPLICITY,0.14165633726899998
ID,2029,NGCC,1,SIMPLICITY,0.57322105462
ID,2029,TD,1,SIMPLICITY,0.57322105462
ID,2030,Backstop,1,SIMPLICITY,0.45481919564999995
ID,2030,GasExtraction,1,SIMPLICITY,0.21283117438999996
ID,2030,NGCC,1,SIMPLICITY,0.10684295598499999
ID,2030,TD,1,SIMPLICITY,0.10684295598499999
ID,2031,Backstop,1,SIMPLICITY,0.51166234534
ID,2031,GasExtraction,1,SIMPLICITY,0.12710563771099997
ID,2031,NGCC,1,SIMPLICITY,0.063808050725
ID,2031,TD,1,SIMPLICITY,0.063808050725
ID,2032,Backstop,1,SIMPLICITY,0.5867770152699999
ID,2032,GasExtraction,1,SIMPLICITY,0.028481376802999996
ID,2032,NGCC,1,SIMPLICITY,0.014297880170899996
ID,2032,TD,1,SIMPLICITY,0.014297880170899996
ID,2033,Backstop,1,SIMPLICITY,0.6166799946699999
ID,2034,Backstop,1,SIMPLICITY,0.6331199986799999
ID,2035,Backstop,1,SIMPLICITY,0.6483599960699999
ID,2036,Backstop,1,SIMPLICITY,0.66659999334
ID,2037,Backstop,1,SIMPLICITY,0.68784000716
ID,2038,Backstop,1,SIMPLICITY,0.7084800010000001
ID,2039,Backstop,1,SIMPLICITY,0.72971999815
ID,2040,Backstop,1,SIMPLICITY,0.7587600049900001
IN,2014,GasExtraction,1,SIMPLICITY,0.3713926751500001
IN,2014,NGCC,1,SIMPLICITY,0.18644210165
IN,2014,TD,1,SIMPLICITY,0.18644210165
IN,2015,GasExtraction,1,SIMPLICITY,0.3732378951
IN,2015,NGCC,1,SIMPLICITY,0.18736842264
IN,2015,TD,1,SIMPLICITY,0.18736842264
IN,2016,GasExtraction,1,SIMPLICITY,0.38145751427
IN,2016,NGCC,1,SIMPLICITY,0.19149473812
IN,2016,TD,1,SIMPLICITY,0.19149473812
IN,2017,GasExtraction,1,SIMPLICITY,0.39286433305
IN,2017,NGCC,1,SIMPLICITY,0.19722105501000003
IN,2017,TD,1,SIMPLICITY,0.19722105501000003
IN,2018,GasExtraction,1,SIMPLICITY,0.45727932341
