REGION,TIMESLICE,FUEL,YEAR,VALUE
SIMPLICITY,SD,FEL1,2037,0.5928
SIMPLICITY,SD,FEL1,2038,0.6081
SIMPLICITY,SD,FEL1,2039,0.62415
SIMPLICITY,SD,FEL1,2040,0.64095
SIMPLICITY,SD,FEL2,2018,0.045
SIMPLICITY,SD,FEL2,2019,0.06
SIMPLICITY,SD,FEL2,2020,0.075
SIMPLICITY,SD,FEL2,2021,0.105
SIMPLICITY,SD,FEL2,2022,0.1125
SIMPLICITY,SD,FEL2,2023,0.135
SIMPLICITY,SD,FEL2,2024,0.1425
SIMPLICITY,SD,FEL2,2025,0.15
SIMPLICITY,SD,FEL2,2026,0.165
SIMPLICITY,SD,FEL2,2027,0.18
SIMPLICITY,SD,FEL2,2028,0.1875
SIMPLICITY,SD,FEL2,2029,0.192
SIMPLICITY,SD,FEL2,2030,0.195
SIMPLICITY,SD,FEL2,2031,0.2025
SIMPLICITY,SD,FEL2,2032,0.225
SIMPLICITY,SD,FEL2,2033,0.2325
SIMPLICITY,SD,FEL2,2034,0.24
SIMPLICITY,SD,FEL2,2035,0.24600000000000002
SIMPLICITY,SD,FEL2,2036,0.255
SIMPLICITY,SD,FEL2,2037,0.267
SIMPLICITY,SD,FEL2,2038,0.2775
SIMPLICITY,SD,FEL2,2039,0.28800000000000003
SIMPLICITY,SD,FEL2,2040,0.3075
SIMPLICITY,SN,FEL1,2014,0.1107
SIMPLICITY,SN,FEL1,2015,0.11125
SIMPLICITY,SN,FEL1,2016,0.1137
SIMPLICITY,SN,FEL1,2017,0.1171
SIMPLICITY,SN,FEL1,2018,0.1213
SIMPLICITY,SN,FEL1,2019,0.12545
SIMPLICITY,SN,FEL1,2020,0.12945
SIMPLICITY,SN,FEL1,2021,0.13415
SIMPLICITY,SN,FEL1,2022,0.139
SIMPLICITY,SN,FEL1,2023,0.1443
SIMPLICITY,SN,FEL1,2024,0.14775
SIMPLICITY,SN,FEL1,2025,0.1503
SIMPLICITY,SN,FEL1,2026,0.15305
SIMPLICITY,SN,FEL1,2027,0.15605
SIMPLICITY,SN,FEL1,2028,0.1593
SIMPLICITY,SN,FEL1,2029,0.1629
SIMPLICITY,SN,FEL1,2030,0.1668
SIMPLICITY,SN,FEL1,2031,0.17095
SIMPLICITY,SN,FEL1,2032,0.17515
SIMPLICITY,SN,FEL1,2033,0.17945
SIMPLICITY,SN,FEL1,2034,0.1838
SIMPLICITY,SN,FEL1,2035,0.18815
SIMPLICITY,SN,FEL1,2036,0.19275
SIMPLICITY,SN,FEL1,2037,0.1976
SIMPLICITY,SN,FEL1,2038,0.2027
SIMPLICITY,SN,FEL1,2039,0.20805
SIMPLICITY,SN,FEL1,2040,0.21365
SIMPLICITY,SN,FEL2,2018,0.015
SIMPLICITY,SN,FEL2,2019,0.02
SIMPLICITY,SN,FEL2,2020,0.025
SIMPLICITY,SN,FEL2,2021,0.035
SIMPLICITY,SN,FEL2,2022,0.0375
SIMPLICITY,SN,FEL2,2023,0.045
SIMPLICITY,SN,FEL2,2024,0.0475
SIMPLICITY,SN,FEL2,2025,0.05
SIMPLICITY,SN,FEL2,2026,0.055
SIMPLICITY,SN,FEL2,2027,0.06
SIMPLICITY,SN,FEL2,2028,0.0625
SIMPLICITY,SN,FEL2,2029,0.064
SIMPLICITY,SN,FEL2,2030,0.065
SIMPLICITY,SN,FEL2,2031,0.0675
SIMPLICITY,SN,FEL2,2032,0.075
SIMPLICITY,SN,FEL2,2033,0.0775
SIMPLICITY,SN,FEL2,2034,0.08
SIMPLICITY,SN,FEL2,2035,0.08199999999999999
SIMPLICITY,SN,FEL2,2036,0.085
SIMPLICITY,SN,FEL2,2037,0.08900000000000001
SIMPLICITY,SN,FEL2,2038,0.0925
SIMPLICITY,SN,FEL2,2039,0.096
SIMPLICITY,SN,FEL2,2040,0.1025
SIMPLICITY,WD,FEL1,2014,0.8856
SIMPLICITY,WD,FEL1,2015,0.89
SIMPLICITY,WD,FEL1,2016,0.9096
SIMPLICITY,WD,FEL1,2017,0.9368
SIMPLICITY,WD,FEL1,2018,0.9704
SIMPLICITY,WD,FEL1,2019,1.0036
SIMPLICITY,WD,FEL1,2020,1.0356
SIMPLICITY,WD,FEL1,2021,1.0732
SIMPLICITY,WD,FEL1,2022,1.112
SIMPLICITY,WD,FEL1,2023,1.1544
SIMPLICITY,WD,FEL1,2024,1.182
SIMPLICITY,WD,FEL1,2025,1.2024
SIMPLICITY,WD,FEL1,2026,1.2244
SIMPLICITY,WD,FEL1,2027,1.2484
SIMPLICITY,WD,FEL1,2028,1.2744
SIMPLICITY,WD,FEL1,2029,1.3032
SIMPLICITY,WD,FEL1,2030,1.3344
SIMPLICITY,WD,FEL1,2031,1.3676
SIMPLICITY,WD,FEL1,2032,1.4012
SIMPLICITY,WD,FEL1,2033,1.4356
SIMPLICITY,WD,FEL1,2034,1.4704
SIMPLICITY,WD,FEL1,2035,1.5052
SIMPLICITY,WD,FEL1,2036,1.5419999999999998
SIMPLICITY,WD,FEL1,2037,1.5808
SIMPLICITY,WD,FEL1,2038,1.6216
SIMPLICITY,WD,FEL1,2039,1.6644
SIMPLICITY,WD,FEL1,2040,1.7092
SIMPLICITY,WD,FEL2,2018,0.12
SIMPLICITY,WD,FEL2,2019,0.16
SIMPLICITY,WD,FEL2,2020,0.2
SIMPLICITY,WD,FEL2,2021,0.28
SIMPLICITY,WD,FEL2,2022,0.3
SIMPLICITY,WD,FEL2,2023,0.36
SIMPLICITY,WD,FEL2,2024,0.38
SIMPLICITY,WD,FEL2,2025,0.4
SIMPLICITY,WD,FEL2,2026,0.44
SIMPLICITY,WD,FEL2,2027,0.48
SIMPLICITY,WD,FEL2,2028,0.5
SIMPLICITY,WD,FEL2,2029,0.512
SIMPLICITY,WD,FEL2,2030,0.52
SIMPLICITY,WD,FEL2,2031,0.54
SIMPLICITY,WD,FEL2,2032,0.6
SIMPLICITY,WD,FEL2,2033,0.62
SIMPLICITY,WD,FEL2,2034,0.64
SIMPLICITY,WD,FEL2,2035,0.6559999999999999
SIMPLICITY,WD,FEL2,2036,0.68
SIMPLICITY,WD,FEL2,2037,0.7120000000000001
SIMPLICITY,WD,FEL2,2038,0.74
SIMPLICITY,WD,FEL2,2039,0.768
SIMPLICITY,WD,FEL2,2040,0.82
SIMPLICITY,WN,FEL1,2014,0.4428
SIMPLICITY,WN,FEL1,2015,0.445
SIMPLICITY,WN,FEL1,2016,0.4548
