REGION,TECHNOLOGY,FUEL,YEAR,VALUE
SIMPLICITY,Backstop,FEL,2030,2.7283694999999994
SIMPLICITY,Backstop,FEL,2031,3.05213249384
SIMPLICITY,Backstop,FEL,2032,3.47689559023
SIMPLICITY,Backstop,FEL,2033,3.8036585985399993
SIMPLICITY,Backstop,FEL,2034,4.13142166979
SIMPLICITY,Backstop,FEL,2035,4.44918471783
SIMPLICITY,Backstop,FEL,2036,4.696566241289999
SIMPLICITY,Backstop,FEL,2037,4.96894780217
SIMPLICITY,Backstop,FEL,2038,5.2363292964
SIMPLICITY,Backstop,FEL,2039,5.50871083647
SIMPLICITY,Backstop,FEL,2040,5.8460923544900005
SIMPLICITY,GasExtraction,GAS,2014,4.64240841572
SIMPLICITY,GasExtraction,GAS,2015,4.66547367751
SIMPLICITY,GasExtraction,GAS,2016,4.76821895352
SIMPLICITY,GasExtraction,GAS,2017,4.91080419914
SIMPLICITY,GasExtraction,GAS,2018,5.28639661799
SIMPLICITY,GasExtraction,GAS,2019,5.439885481639999
SIMPLICITY,GasExtraction,GAS,2020,5.572486492829999
SIMPLICITY,GasExtraction,GAS,2021,5.705914858649999
SIMPLICITY,GasExtraction,GAS,2022,5.758314937650001
SIMPLICITY,GasExtraction,GAS,2023,5.84956951961
SIMPLICITY,GasExtraction,GAS,2024,5.89198863118
SIMPLICITY,GasExtraction,GAS,2025,5.920197475449999
SIMPLICITY,GasExtraction,GAS,2026,5.93644799764
SIMPLICITY,GasExtraction,GAS,2027,5.953222735060001
SIMPLICITY,GasExtraction,GAS,2028,5.9652795770600004
SIMPLICITY,GasExtraction,GAS,2029,5.975973472789999
SIMPLICITY,GasExtraction,GAS,2030,3.999999989708
SIMPLICITY,GasExtraction,GAS,2031,3.599999988341
SIMPLICITY,GasExtraction,GAS,2032,3.1999999893330004
SIMPLICITY,GasExtraction,GAS,2033,2.80000000007
SIMPLICITY,GasExtraction,GAS,2034,2.400000016685
SIMPLICITY,GasExtraction,GAS,2035,1.9999999808859998
SIMPLICITY,GasExtraction,GAS,2036,1.799999991475
SIMPLICITY,GasExtraction,GAS,2037,1.6000000156149998
SIMPLICITY,GasExtraction,GAS,2038,1.40000000146
SIMPLICITY,GasExtraction,GAS,2039,1.20000001367
SIMPLICITY,GasExtraction,GAS,2040,1.00000000758
SIMPLICITY,GasImport,GAS,2018,0.42959494641499996
SIMPLICITY,GasImport,GAS,2019,0.65982822681
SIMPLICITY,GasImport,GAS,2020,0.904658793191
SIMPLICITY,GasImport,GAS,2021,1.3877019717649999
