REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
SIMPLICITY,GasExtraction,CO2,2014,0.232120420786
SIMPLICITY,GasExtraction,CO2,2015,0.23327368387549996
SIMPLICITY,GasExtraction,CO2,2016,0.23841094767600002
SIMPLICITY,GasExtraction,CO2,2017,0.245540209957
SIMPLICITY,GasExtraction,CO2,2018,0.2643198308995
SIMPLICITY,GasExtraction,CO2,2019,0.271994274082
SIMPLICITY,GasExtraction,CO2,2020,0.2786243246415
SIMPLICITY,GasExtraction,CO2,2021,0.28529574293250004
SIMPLICITY,GasExtraction,CO2,2022,0.2879157468825
SIMPLICITY,GasExtraction,CO2,2023,0.29247847598050003
SIMPLICITY,GasExtraction,CO2,2024,0.29459943155900004
SIMPLICITY,GasExtraction,CO2,2025,0.2960098737725
SIMPLICITY,GasExtraction,CO2,2026,0.296822399882
SIMPLICITY,GasExtraction,CO2,2027,0.297661136753
SIMPLICITY,GasExtraction,CO2,2028,0.29826397885300004
SIMPLICITY,GasExtraction,CO2,2029,0.29879867363949997
SIMPLICITY,GasExtraction,CO2,2030,0.1999999994854
SIMPLICITY,GasExtraction,CO2,2031,0.17999999941705
SIMPLICITY,GasExtraction,CO2,2032,0.15999999946665
SIMPLICITY,GasExtraction,CO2,2033,0.1400000000035
SIMPLICITY,GasExtraction,CO2,2034,0.12000000083425001
SIMPLICITY,GasExtraction,CO2,2035,0.0999999990443
SIMPLICITY,GasExtraction,CO2,2036,0.08999999957374999
SIMPLICITY,GasExtraction,CO2,2037,0.08000000078075
SIMPLICITY,GasExtraction,CO2,2038,0.070000000073
SIMPLICITY,GasExtraction,CO2,2039,0.060000000683500004
SIMPLICITY,GasExtraction,CO2,2040,0.050000000379
SIMPLICITY,GasImport,CO2,2018,0.02147974732075
SIMPLICITY,GasImport,CO2,2019,0.0329914113405
SIMPLICITY,GasImport,CO2,2020,0.04523293965955
SIMPLICITY,GasImport,CO2,2021,0.06938509858825
SIMPLICITY,GasImport,CO2,2022,0.0821768850815
SIMPLICITY,GasImport,CO2,2023,0.104453735159
SIMPLICITY,GasImport,CO2,2024,0.11480898940550001
SIMPLICITY,GasImport,CO2,2025,0.12398760057495
SIMPLICITY,GasImport,CO2,2026,0.13942559950810002
SIMPLICITY,GasImport,CO2,2027,0.15536159928845
SIMPLICITY,GasImport,CO2,2028,0.1668156008598
SIMPLICITY,GasImport,CO2,2029,0.17697479941145
