REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
SIMPLICITY,GasExtraction,CO2,1,2015,0.1491110211505
SIMPLICITY,GasImport1,CO2,1,2015,0.08300939955215
